Unnamed: 0,VIN,FleetID,averageSpeed,consumedFuel,distance,duration,endDate,endLatitude,endLongitude,startDate,startLatitude,startLongitude,timestamp,tripFuelEconomy,rule_respect,count
39,VF1RFD00257184142,100201,13.927007299258602,0.82,5.2999999999956335,23,1561887654,48.866558000000005,2.6598,1561886284,48.850014,2.622497,1561887654,15.471698113220288,rules_respected,315
40,VF1RFD00257184142,100200,44.244031830238725,5.63,69.5,95,1561911484,48.828831,1.9853330000000002,1561905829,48.866535,2.659795,1561911484,8.100719424460431,rules_respected,315
41,VF1RFD00257184142,100201,25.24675324679407,0.3,2.7000000000043656,7,1561911977,48.820972,1.959453,1561911592,48.828831,1.9853330000000002,1561911977,11.111111111093146,rules_respected,315
42,VF1RFD00257184142,100200,25.24675324679407,0.3,2.7000000000043656,7,1561911977,48.820972,1.959453,1561911592,48.828831,1.9853330000000002,1561911977,11.111111111093146,rules_respected,315
43,VF1RFD00257184142,100201,6.222222222196352,0.06,0.13999999999941792,2,1561959115,48.821907,1.959311,1561959034,48.820972,1.959453,1561959115,42.85714285732104,rules_respected,315
44,VF1RFD00257184142,100201,25.038805970089825,0.25,2.3299999999944703,6,1561959560,48.816383,1.960289,1561959225,48.821907,1.959311,1561959560,10.729613733931043,rules_respected,315
45,VF1RFD00257184142,100200,6.222222222196352,0.06,0.13999999999941792,2,1561959115,48.821907,1.959311,1561959034,48.820972,1.959453,1561959115,42.85714285732104,rules_respected,315
46,VF1RFD00257184142,100200,25.038805970089825,0.25,2.3299999999944703,6,1561959560,48.816383,1.960289,1561959225,48.821907,1.959311,1561959560,10.729613733931043,rules_respected,315
47,VF1RFA00X60637450,100201,38.715083798880244,0.55,11.549999999999272,18,1561975619,47.52235,-2.784536,1561974545,47.584773999999996,-2.684325,1561975619,4.761904761905061,rules_respected,315
48,VF1RFA00X60637450,100201,14.845360824751275,0.17,2.4000000000014547,10,1561976714,47.526558,-2.770267,1561976132,47.52235,-2.784536,1561976714,7.08333333332904,rules_respected,315
49,VF1RFA00X60637450,100201,16.21374045801927,0.05,0.5900000000001455,3,1561998428,47.528393,-2.7686610000000003,1561998297,47.530991,-2.764325,1561998428,8.474576271184352,rules_respected,315
50,VF1RFA00X60637450,100201,22.99009900990034,0.17,2.5799999999999272,7,1561999232,47.521747999999995,-2.7666169999999997,1561998828,47.528385,-2.768647,1561999232,6.589147286821891,rules_respected,315
51,VF1RFD00257184142,100201,32.87292225202252,1.52,17.030000000006112,32,1561962130,48.763462,2.0884549999999997,1561960265,48.816406,1.9602830000000002,1561962130,8.925425719315648,rules_respected,315
52,VF1RFD00257184142,100200,32.87292225202252,1.52,17.030000000006112,32,1561962130,48.763462,2.0884549999999997,1561960265,48.816406,1.9602830000000002,1561962130,8.925425719315648,rules_respected,315
53,VF1RFD00257184142,100201,38.33736473582771,1.52,16.729999999995925,27,1562002279,48.824238,1.964275,1562000708,48.763462,2.0884549999999997,1562002279,9.085475194264015,rules_respected,315
54,VF1RFD00257184142,100200,38.33736473582771,1.52,16.729999999995925,27,1562002279,48.824238,1.964275,1562000708,48.763462,2.0884549999999997,1562002279,9.085475194264015,rules_respected,315
55,VF1RFD00257184142,100200,14.400000000009744,0.13,0.8600000000005821,4,1562002729,48.821995,1.9593470000000002,1562002514,48.824238,1.964275,1562002729,15.116279069757212,rules_respected,315
56,VF1RFD00257184142,100201,14.400000000009744,0.13,0.8600000000005821,4,1562002729,48.821995,1.9593470000000002,1562002514,48.824238,1.964275,1562002729,15.116279069757212,rules_respected,315
57,VF1RFA00X60637450,100201,20.927999999985328,0.16,2.179999999998472,7,1562002418,47.531025,-2.764314,1562002043,47.521736,-2.766569,1562002418,7.3394495412895475,rules_respected,315
58,VF1RFD00257184142,100200,14.794520547969125,0.13,0.9000000000014552,4,1562008174,48.821166999999996,1.962014,1562007955,48.821938,1.9593189999999998,1562008174,14.444444444421089,rules_respected,315
59,VF1RFD00257184142,100201,14.794520547969125,0.13,0.9000000000014552,4,1562008174,48.821166999999996,1.962014,1562007955,48.821938,1.9593189999999998,1562008174,14.444444444421089,rules_respected,315
60,VF1RFD00257184142,100200,14.496644295266853,0.13,0.5999999999985448,3,1562051343,48.824177,1.964236,1562051194,48.821911,1.9597330000000002,1562051343,21.666666666719212,rules_respected,315
61,VF1RFD00257184142,100200,11.853658536444815,0.06,0.2699999999967986,2,1562049777,48.821903000000006,1.959717,1562049695,48.82111,1.9620830000000002,1562049777,22.22222222248571,rules_respected,315
62,VF1RFD00257184142,100201,11.853658536444815,0.06,0.2699999999967986,2,1562049777,48.821903000000006,1.959717,1562049695,48.82111,1.9620830000000002,1562049777,22.22222222248571,rules_respected,315
63,VF1RFD00257184142,100201,14.496644295266853,0.13,0.5999999999985448,3,1562051343,48.824177,1.964236,1562051194,48.821911,1.9597330000000002,1562051343,21.666666666719212,rules_respected,315
64,VF1RFD00257184142,100200,28.360465116346074,0.29,2.7100000000064033,6,1562055085,48.81638,1.960314,1562054741,48.824089,1.964286,1562055085,10.701107011044828,rules_respected,315
65,VF1RFD00257184142,100201,28.360465116346074,0.29,2.7100000000064033,6,1562055085,48.81638,1.960314,1562054741,48.824089,1.964286,1562055085,10.701107011044828,rules_respected,315
66,VF1RFA00X60637450,100201,0.3870967742019979,0.03,0.01000000000021828,2,1562065026,47.530952,-2.764395,1562064933,47.531029,-2.7642889999999998,1562065026,299.99999999345164,rules_respected,315
67,VF1JZ49BJ55440744,100201,35.00000000003638,0.11,1.4000000000014552,3,1562080039,43.842182,-1.363358,1562079895,43.84304,-1.376406,1562080039,7.85714285713469,rules_respected,315
